endTime,artistName,trackName,msPlayed,user_id,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres,percentage_listened
2024-07-24 13:05:00,Priyanka,Snatch,2133,ezra,https://open.spotify.com/track/3A1XnypF0LFJLtQrt9bw5d,3A1XnypF0LFJLtQrt9bw5d,Taste Test,27.0,153186.0,5.0,https://i.scdn.co/image/ab67616d0000b273debc8d96d02db37e5de5b707,"['Priyanka', 'Cheryl Hole']",,2021-07-16,['strut'],0.013924248952254123
2024-07-24 13:05:00,Lil Nas X,THATS WHAT I WANT,6591,ezra,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,73.0,143901.0,4.0,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,['Lil Nas X'],,2021-09-17,['lgbtq+ hip hop'],0.04580232243000396
2024-07-24 13:05:00,RuPaul,Cover Girl,5098,ezra,https://open.spotify.com/track/38u74wUfcE5N47L2m9qYrZ,38u74wUfcE5N47L2m9qYrZ,Cover Girl - The RuMixes,48.0,183013.0,1.0,https://i.scdn.co/image/ab67616d0000b273954b9965fbeced94ee4477b0,['RuPaul'],,2009-02-03,"['diva house', 'strut']",0.027855944659668987
2024-07-24 13:05:00,Lady Gaga,Babylon,14165,ezra,https://open.spotify.com/track/5DttNeiizFqWUON9hZBqTY,5DttNeiizFqWUON9hZBqTY,Chromatica,54.0,161733.0,16.0,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a,['Lady Gaga'],,2020-05-29,"['art pop', 'dance pop', 'pop']",0.08758262073911942
2024-07-24 13:13:00,Demi Lovato,Heart Attack - Rock Version,204410,ezra,https://open.spotify.com/track/6Jt18cyNzFXYYUUBllm7rZ,6Jt18cyNzFXYYUUBllm7rZ,REVAMPED,50.0,239011.0,1.0,https://i.scdn.co/image/ab67616d0000b273c935454aba6964245bb3258e,['Demi Lovato'],,2023-09-15,"['pop', 'post-teen pop']",0.8552326043571217
2024-07-24 13:16:00,Adam Lambert,Whataya Want from Me,217070,ezra,https://open.spotify.com/track/2rDwdvBma1O1eLzo29p2cr,2rDwdvBma1O1eLzo29p2cr,For Your Entertainment,58.0,227320.0,3.0,https://i.scdn.co/image/ab67616d0000b273fe0d9870d6d8e18c3a00c658,['Adam Lambert'],,2009-11-23,"['dance pop', 'idol', 'pop', 'post-teen pop']",0.9549093788491994
2024-07-24 13:18:00,Selena Gomez & The Scene,Who Says,99024,ezra,https://open.spotify.com/track/3TcL0dyCMyr0kyTTc4NLgI,3TcL0dyCMyr0kyTTc4NLgI,When The Sun Goes Down,71.0,195613.0,3.0,https://i.scdn.co/image/ab67616d0000b2731c8193de8d62b2ffa49a09db,['Selena Gomez & The Scene'],,2011-01-01,['pop'],0.5062240239656873
2024-07-24 13:18:00,P!nk,Raise Your Glass,22591,ezra,https://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR,1gv4xPanImH17bKZ9rOveR,Raise Your Glass,76.0,202960.0,1.0,https://i.scdn.co/image/ab67616d0000b2736f3451faa271fbe470685f34,['P!nk'],,2010-10-05,"['dance pop', 'pop']",0.11130764682696098
2024-07-24 13:18:00,Selena Gomez,"Shake It Up - From ""Shake It Up""",1791,ezra,https://open.spotify.com/track/1oLcpJA9TfwwejiEM9C5gi,1oLcpJA9TfwwejiEM9C5gi,"Shake It Up (From ""Shake It Up"")",41.0,180826.0,1.0,https://i.scdn.co/image/ab67616d0000b2736443cff4e970c652e13ed295,['Selena Gomez'],,2011-01-01,"['pop', 'post-teen pop']",0.009904549124572793
2024-07-24 13:34:00,Rihanna,Shut Up And Drive,3178,ezra,https://open.spotify.com/track/4QdX6pmNnJ5cleufWQIr5D,4QdX6pmNnJ5cleufWQIr5D,Good Girl Gone Bad,63.0,212280.0,5.0,https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b,['Rihanna'],,2007-01-01,"['barbadian pop', 'pop', 'urban contemporary']",0.014970793291878651
2024-07-24 13:34:00,Katy Perry,California Gurls,54824,ezra,https://open.spotify.com/track/6KOEK6SeCEZOQkLj5M1PxH,6KOEK6SeCEZOQkLj5M1PxH,Teenage Dream,71.0,234653.0,3.0,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888,"['Katy Perry', 'Snoop Dogg']",,2010-01-01,"['g funk', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'west coast rap']",0.2336386067938616
2024-07-24 13:35:00,Avril Lavigne,Girlfriend,12736,ezra,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,45hOioMDJktr86iKDHC8gr,The Best Damn Thing (Expanded Edition),73.0,216600.0,1.0,https://i.scdn.co/image/ab67616d0000b273476cdf5837ae39eee951cc15,['Avril Lavigne'],,2007-04-17,"['canadian pop', 'candy pop', 'dance pop', 'pop']",0.058799630655586334
2024-07-24 13:38:00,Chappell Roan,Femininomenon,16725,ezra,https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS,53IRnAWx13PYmoVYtemUBS,The Rise and Fall of a Midwest Princess,80.0,219710.0,1.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.07612307132128715
2024-07-24 13:38:00,Chappell Roan,Femininomenon,199445,ezra,https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS,53IRnAWx13PYmoVYtemUBS,The Rise and Fall of a Midwest Princess,80.0,219710.0,1.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.9077647808474808
2024-07-24 13:39:00,Chappell Roan,Femininomenon,18943,ezra,https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS,53IRnAWx13PYmoVYtemUBS,The Rise and Fall of a Midwest Princess,80.0,219710.0,1.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.08621819671385007
2024-07-24 13:42:00,Chappell Roan,HOT TO GO!,1408,ezra,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7,The Rise and Fall of a Midwest Princess,87.0,184841.0,7.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.007617357620874157
2024-07-24 13:42:00,Chappell Roan,Femininomenon,33958,ezra,https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS,53IRnAWx13PYmoVYtemUBS,The Rise and Fall of a Midwest Princess,80.0,219710.0,1.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.154558281370898
2024-07-24 13:42:00,Chappell Roan,Super Graphic Ultra Modern Girl,183888,ezra,https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU,1rNSCrsOoWyhKH4g47mehU,The Rise and Fall of a Midwest Princess,76.0,183888.0,6.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],1.0
2024-07-24 13:46:00,Chappell Roan,My Kink Is Karma,222578,ezra,https://open.spotify.com/track/32fSZSbxeVoiZShMQKLc6Z,32fSZSbxeVoiZShMQKLc6Z,The Rise and Fall of a Midwest Princess,79.0,222578.0,8.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],1.0
2024-07-24 13:49:00,Chappell Roan,Picture You,187130,ezra,https://open.spotify.com/track/5KtvumPgVZmt8wg9xONE0T,5KtvumPgVZmt8wg9xONE0T,The Rise and Fall of a Midwest Princess,74.0,187130.0,9.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],1.0
2024-07-24 14:48:00,Britney Spears,Till The World Ends (the Femme Fatale Remix) (feat. Nicki Minaj & Ke$ha),33243,ezra,https://open.spotify.com/track/36JDWxV9Htu0znOlbhLn5C,36JDWxV9Htu0znOlbhLn5C,Till The World Ends (the Femme Fatale Remix) (feat. Nicki Minaj & Ke$ha),42.0,284226.0,1.0,https://i.scdn.co/image/ab67616d0000b273f6c0b0149b454c9098ea9f14,"['Britney Spears', 'Nicki Minaj', 'Kesha', 'Dr. Luke', 'Dream Machine']",,2011-04-22,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.11695974330286463
2024-07-24 14:48:00,Original Cast of Billy Elliot,The Stars Look Down,9643,ezra,https://open.spotify.com/track/2xKR4oOXjtYFb09dVvZUAY,2xKR4oOXjtYFb09dVvZUAY,Billy Elliot: The Original Cast Recording,28.0,450933.0,1.0,https://i.scdn.co/image/ab67616d0000b27398c23219a69071231259c821,['Original Cast of Billy Elliot'],,2005-01-01,"['broadway', 'west end']",0.021384551585268766
2024-07-24 14:48:00,Chappell Roan,Kaleidoscope,205075,ezra,https://open.spotify.com/track/4ROYC4vHfPZ28mqz0eLrzL,4ROYC4vHfPZ28mqz0eLrzL,The Rise and Fall of a Midwest Princess,69.0,222650.0,10.0,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,['Chappell Roan'],,2023-09-22,['indie pop'],0.921064450931956
2024-07-24 14:49:00,Original Cast of Billy Elliot,Grandma's Song,4629,ezra,https://open.spotify.com/track/4qJqlwR2h09t24Rks9XgEk,4qJqlwR2h09t24Rks9XgEk,Billy Elliot: The Original Cast Recording,25.0,280040.0,3.0,https://i.scdn.co/image/ab67616d0000b27398c23219a69071231259c821,['Original Cast of Billy Elliot'],,2005-01-01,"['broadway', 'west end']",0.01652978145979146
2024-07-24 14:49:00,Elton John,The Letter,12458,ezra,https://open.spotify.com/track/1l3pQggnZWxBCG1lreZ6KZ,1l3pQggnZWxBCG1lreZ6KZ,Peachtree Road (Expanded Edition),13.0,150266.0,13.0,https://i.scdn.co/image/ab67616d0000b273fdb801d40f1f53f5011be240,['Elton John'],,2004-11-07,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.08290631280529195
2024-07-24 14:49:00,Original Cast of Billy Elliot,Grandma's Song,2645,ezra,https://open.spotify.com/track/4qJqlwR2h09t24Rks9XgEk,4qJqlwR2h09t24Rks9XgEk,Billy Elliot: The Original Cast Recording,25.0,280040.0,3.0,https://i.scdn.co/image/ab67616d0000b27398c23219a69071231259c821,['Original Cast of Billy Elliot'],,2005-01-01,"['broadway', 'west end']",0.009445079274389373
2024-07-24 14:49:00,Elton John,Merry Christmas Maggie Thatcher,2773,ezra,https://open.spotify.com/track/0dM6Wr1Hhvfcic5ilTL6gH,0dM6Wr1Hhvfcic5ilTL6gH,Peachtree Road (Expanded Edition),29.0,215560.0,14.0,https://i.scdn.co/image/ab67616d0000b273fdb801d40f1f53f5011be240,['Elton John'],,2004-11-07,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.012864167749118575
2024-07-24 14:49:00,Original Cast of Billy Elliot,The Letter - Reprise,2346,ezra,https://open.spotify.com/track/0aby5o0r0lNqqxyF91C0mf,0aby5o0r0lNqqxyF91C0mf,Billy Elliot: The Original Cast Recording,23.0,172826.0,14.0,https://i.scdn.co/image/ab67616d0000b27398c23219a69071231259c821,['Original Cast of Billy Elliot'],,2005-01-01,"['broadway', 'west end']",0.01357434645250136
2024-07-24 14:50:00,Lady Gaga,"Beautiful, Dirty, Rich",0,ezra,https://open.spotify.com/track/3qrQtMmkuV79LMGfsGDHRf,3qrQtMmkuV79LMGfsGDHRf,The Fame,48.0,172413.0,6.0,https://i.scdn.co/image/ab67616d0000b273613aaa3ae566d9f36008aed0,['Lady Gaga'],,2008-01-01,"['art pop', 'dance pop', 'pop']",0.0
2024-07-24 14:50:00,Rihanna,SOS,7573,ezra,https://open.spotify.com/track/30cSNer6TV8x2utjULVeQ5,30cSNer6TV8x2utjULVeQ5,A Girl Like Me,75.0,238920.0,1.0,https://i.scdn.co/image/ab67616d0000b273d744a51e193d52170070062b,['Rihanna'],,2006-04-10,"['barbadian pop', 'pop', 'urban contemporary']",0.031696802276912774
2024-07-24 14:50:00,Elton John,Electricity,32255,ezra,https://open.spotify.com/track/6kSFIFltpBFMMaaHO1g2ON,6kSFIFltpBFMMaaHO1g2ON,Peachtree Road (Expanded Edition),31.0,209733.0,15.0,https://i.scdn.co/image/ab67616d0000b273fdb801d40f1f53f5011be240,['Elton John'],,2004-11-07,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.1537907720768787
2024-07-24 14:53:00,Olivia Rodrigo,obsessed,166769,ezra,https://open.spotify.com/track/6tNgRQ0K2NYZ0Rb9l9DzL8,6tNgRQ0K2NYZ0Rb9l9DzL8,GUTS (spilled),76.0,170541.0,13.0,https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee,['Olivia Rodrigo'],,2024-03-22,['pop'],0.9778821515060895
