trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Girls Just Wanna Have Fun,Miley Cyrus,https://open.spotify.com/track/5R6bRLwPyEj7LLMSJW766C,5R6bRLwPyEj7LLMSJW766C,Breakout,45.0,186426.0,4.0,https://i.scdn.co/image/ab67616d0000b273e345458751c029f411db3d5b,['Miley Cyrus'],,2008-01-01,['pop']
The Climb,Miley Cyrus,https://open.spotify.com/track/0V8FYVlBFuXXTIvRnMbZyS,0V8FYVlBFuXXTIvRnMbZyS,Hannah Montana The Movie,62.0,236066.0,8.0,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb,['Miley Cyrus'],,2009-01-01,['pop']
We Can't Stop,Miley Cyrus,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH,2y4lAQpi5VTNLu2ldeTdUH,Bangerz (Deluxe Version),77.0,231240.0,2.0,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,['Miley Cyrus'],,2013-10-04,['pop']
Flowers,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,7DSAEUvxU8FajXtRloy8M0,Endless Summer Vacation,86.0,200600.0,1.0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,['Miley Cyrus'],,2023-08-18,['pop']
Don't Walk Away,Miley Cyrus,https://open.spotify.com/track/0WzFAQkNDZqNyNjglVucWu,0WzFAQkNDZqNyNjglVucWu,Hannah Montana The Movie,46.0,167360.0,5.0,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb,['Miley Cyrus'],,2009-01-01,['pop']
Midnight Sky,Miley Cyrus,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX,4i2qxFEVVUi8yOYoxB8TCX,Plastic Hearts,68.0,223280.0,7.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,['Miley Cyrus'],,2020-11-27,['pop']
Fly On The Wall,Miley Cyrus,https://open.spotify.com/track/2f6s0AcBRBE0vIOU0NMdXw,2f6s0AcBRBE0vIOU0NMdXw,Breakout,49.0,151800.0,6.0,https://i.scdn.co/image/ab67616d0000b273e345458751c029f411db3d5b,['Miley Cyrus'],,2008-01-01,['pop']
Used To Be Young,Miley Cyrus,https://open.spotify.com/track/41WQUSINanQHfhfKpFDsms,41WQUSINanQHfhfKpFDsms,Endless Summer Vacation,69.0,191185.0,4.0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,['Miley Cyrus'],,2023-08-18,['pop']
Like a Prayer - Live,Miley Cyrus,https://open.spotify.com/track/6BHshWgPkMT0iIwOiuKiF2,6BHshWgPkMT0iIwOiuKiF2,ATTENTION: MILEY LIVE,59.0,207879.0,16.0,https://i.scdn.co/image/ab67616d0000b2730cb72bf16e0692468d81465b,['Miley Cyrus'],,2022-04-29,['pop']
Party In The U.S.A.,Miley Cyrus,https://open.spotify.com/track/5Q0Nhxo0l2bP3pNjpGJwV1,5Q0Nhxo0l2bP3pNjpGJwV1,The Time Of Our Lives,73.0,202066.0,2.0,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103,['Miley Cyrus'],,2009-01-01,['pop']
