endTime,artistName,trackName,msPlayed,user_id,spotify_id,album,popularity,duration_ms,track_number,album_artwork,external_urls,artists_involved,release_date
2024-01-14 01:08:00,Jon Batiste,White Space,168124,samfa,3Lv0EVaTCosdElq04TJ3PU,World Music Radio,29.0,168124.0,19.0,https://i.scdn.co/image/ab67616d0000b273f5a5adda042dca9d68151cfa,https://open.spotify.com/track/3Lv0EVaTCosdElq04TJ3PU,Jon Batiste,2023-08-18
2024-01-14 01:13:00,Jon Batiste,Wherever You Are,291972,samfa,7JcykXZ7KhEe5hvv1Rt7A1,World Music Radio,28.0,291972.0,20.0,https://i.scdn.co/image/ab67616d0000b273f5a5adda042dca9d68151cfa,https://open.spotify.com/track/7JcykXZ7KhEe5hvv1Rt7A1,Jon Batiste,2023-08-18
2024-01-14 01:17:00,Jon Batiste,Life Lesson (feat. Lana Del Rey),275882,samfa,21B45csd0sMwX5VnAHc4BX,World Music Radio,38.0,289337.0,21.0,https://i.scdn.co/image/ab67616d0000b273f5a5adda042dca9d68151cfa,https://open.spotify.com/track/21B45csd0sMwX5VnAHc4BX,"Jon Batiste, Lana Del Rey",2023-08-18
2024-01-14 19:51:00,Lana Del Rey,The Grants,295201,samfa,3KbOflJ5JqHWtmco4PiO3h,Did you know that there's a tunnel under Ocean Blvd,59.0,295201.0,1.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/3KbOflJ5JqHWtmco4PiO3h,Lana Del Rey,2023-03-24
2024-01-14 19:56:00,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,285050,samfa,0HEzuLLojblUOaUSdmJ9gl,Did you know that there's a tunnel under Ocean Blvd,68.0,285050.0,2.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/0HEzuLLojblUOaUSdmJ9gl,Lana Del Rey,2023-03-24
2024-01-14 19:59:00,Lana Del Rey,Sweet,215295,samfa,6x8g6DxglrzCSwKhv2Q1ee,Did you know that there's a tunnel under Ocean Blvd,62.0,215295.0,3.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/6x8g6DxglrzCSwKhv2Q1ee,Lana Del Rey,2023-03-24
2024-01-14 20:03:00,Lana Del Rey,A&W,205731,samfa,5nW4z3pfZgJAJ2QTCz9AIE,Did you know that there's a tunnel under Ocean Blvd,68.0,433916.0,4.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/5nW4z3pfZgJAJ2QTCz9AIE,Lana Del Rey,2023-03-24
2024-01-15 14:35:00,Lana Del Rey,Judah Smith Interlude,1996,samfa,4fFqFgMDP9lY8tqEoArFGq,Did you know that there's a tunnel under Ocean Blvd,52.0,276757.0,5.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/4fFqFgMDP9lY8tqEoArFGq,Lana Del Rey,2023-03-24
2024-01-15 14:43:00,Lana Del Rey,A&W,433916,samfa,5nW4z3pfZgJAJ2QTCz9AIE,Did you know that there's a tunnel under Ocean Blvd,68.0,433916.0,4.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/5nW4z3pfZgJAJ2QTCz9AIE,Lana Del Rey,2023-03-24
2024-01-15 14:47:00,Lana Del Rey,Judah Smith Interlude,276757,samfa,4fFqFgMDP9lY8tqEoArFGq,Did you know that there's a tunnel under Ocean Blvd,52.0,276757.0,5.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/4fFqFgMDP9lY8tqEoArFGq,Lana Del Rey,2023-03-24
2024-01-15 14:52:00,Lana Del Rey,Candy Necklace (feat. Jon Batiste),314520,samfa,3MlEryrxCKZkcfX18ZLX96,Did you know that there's a tunnel under Ocean Blvd,59.0,314520.0,6.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/3MlEryrxCKZkcfX18ZLX96,"Lana Del Rey, Jon Batiste",2023-03-24
2024-01-15 14:56:00,Lana Del Rey,Jon Batiste Interlude,213435,samfa,2JFVBojvTHpSZLoyowuZys,Did you know that there's a tunnel under Ocean Blvd,51.0,213435.0,7.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/2JFVBojvTHpSZLoyowuZys,Lana Del Rey,2023-03-24
2024-01-15 15:02:00,Lana Del Rey,Kintsugi,378951,samfa,4VL310GGX3b2ixL3sV0Je8,Did you know that there's a tunnel under Ocean Blvd,56.0,378951.0,8.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/4VL310GGX3b2ixL3sV0Je8,Lana Del Rey,2023-03-24
2024-01-15 15:08:00,Lana Del Rey,Fingertips,348256,samfa,1BUckPDAi8NYfLN7EiQcQA,Did you know that there's a tunnel under Ocean Blvd,55.0,348256.0,9.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/1BUckPDAi8NYfLN7EiQcQA,Lana Del Rey,2023-03-24
2024-01-15 15:12:00,Lana Del Rey,"Paris, Texas (feat. SYML)",206722,samfa,0Oqxt6JixieLHbwMfnJGWO,Did you know that there's a tunnel under Ocean Blvd,72.0,206722.0,10.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/0Oqxt6JixieLHbwMfnJGWO,"Lana Del Rey, SYML",2023-03-24
2024-01-15 15:16:00,Lana Del Rey,Grandfather please stand on the shoulders of my father while he's deep-sea fishing (feat. RIOPY),240287,samfa,55LnC7VuUvayQ3fW0CvDL6,Did you know that there's a tunnel under Ocean Blvd,56.0,240287.0,11.0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,https://open.spotify.com/track/55LnC7VuUvayQ3fW0CvDL6,"Lana Del Rey, RIOPY",2023-03-24
