endTime,artistName,trackName,msPlayed,user_id
2023-12-16 22:07:00,Pentatonix,Where Are You Christmas?,65596,sammi
2023-12-16 22:11:00,Pentatonix,I'll Be Home For Christmas,207560,sammi
2023-12-16 22:14:00,Peach PRC,"I've Been Bad, Santa",167749,sammi
2023-12-16 22:16:00,Justin Bieber,Silent Night,1863,sammi
2023-12-16 22:16:00,Leslie Odom Jr.,First Noel,14853,sammi
2023-12-16 22:16:00,Pentatonix,God Rest Ye Merry Gentlemen,149680,sammi
2023-12-16 22:16:00,Leslie Odom Jr.,The Christmas Waltz,1289,sammi
2023-12-16 22:17:00,Kacey Musgraves,Present Without A Bow,772,sammi
2023-12-16 22:17:00,Justin Bieber,Pray,6345,sammi
2023-12-16 22:17:00,Glee Cast,"Hanukkah, Oh Hanukkah",49519,sammi
2023-12-16 22:18:00,Pentatonix,Jingle Bells (with Orchestra),9584,sammi
2023-12-16 22:21:00,Justin Bieber,The Christmas Song (Chestnuts Roasting On An Open Fire),11060,sammi
2023-12-16 22:21:00,Pentatonix,Away In A Manger,184680,sammi
2023-12-16 22:21:00,Darren Criss,Have Yourself A Merry Little Christmas,3968,sammi
2023-12-16 22:24:00,Glee Cast,Feliz Navidad,9108,sammi
2023-12-16 22:24:00,Glee Cast,Santa Baby,151827,sammi
2023-12-16 22:26:00,Glee Cast,"Baby, It's Cold Outside (feat. Darren Criss)",166547,sammi
2023-12-16 22:27:00,Lea Michele,Have Yourself a Merry Little Christmas,46047,sammi
2023-12-16 22:28:00,Idina Menzel,Christmas Time Is Here,1325,sammi
2023-12-16 22:28:00,Idina Menzel,Walker’s 3rd Hanukkah,1161,sammi
2023-12-16 22:28:00,Lucy Dacus,Last Christmas,54259,sammi
2023-12-16 22:40:00,Pentatonix,White Winter Hymnal (Fleet Foxes Cover),905,sammi
2023-12-16 22:40:00,Leslie Odom Jr.,Merry Christmas Darling,631,sammi
2023-12-16 22:40:00,Idina Menzel,A Hand For Mrs. Claus,646,sammi
2023-12-16 22:40:00,Justin Bieber,Fa La La - A Cappella,175213,sammi
2023-12-16 22:40:00,Pentatonix,Waltz Of The Flowers,16705,sammi
2023-12-16 22:40:00,Glee Cast,O Christmas Tree,264,sammi
2023-12-16 22:40:00,Pentatonix,The First Noel,106,sammi
2023-12-16 22:40:00,Kacey Musgraves,What Are You Doing New Year's Eve?,392,sammi
2023-12-16 22:40:00,Us The Duo,Holiday Heartbreak,177,sammi
