trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
The Diary of Jane - Single Version,Breaking Benjamin,https://open.spotify.com/track/0faXHILILebCGnJBPU6KJJ,0faXHILILebCGnJBPU6KJJ,Phobia (Clean Version),73,200546,2,https://i.scdn.co/image/ab67616d0000b2735aa75a47afe2804e280bd149,['Breaking Benjamin'],,2006-01-01,"['alternative metal', 'nu metal', 'post-grunge']"
Hayloft,Mother Mother,https://open.spotify.com/track/0kYMwaQWABTkFff8AZjmYI,0kYMwaQWABTkFff8AZjmYI,Inside (Deluxe),73,215040,16,https://i.scdn.co/image/ab67616d0000b273ac91ecc149d3fb876f117a84,['Mother Mother'],,2022-01-28,"['canadian indie rock', 'pov: indie', 'vancouver indie']"
Boyfriend,Dove Cameron,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,59CfNbkERJ3NoTXDvoURjj,Boyfriend,70,153000,1,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc,['Dove Cameron'],,2022-02-11,['pop']
Do I Wanna Know?,Arctic Monkeys,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,5FVd6KXrgO9B3JPmC8OPst,AM,84,272394,1,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,['Arctic Monkeys'],,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
HIGHEST IN THE ROOM,Travis Scott,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,84,175720,1,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,['Travis Scott'],,2019-10-04,"['rap', 'slap house']"
Bring Me To Life,Evanescence,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,0COqiPhxzoWICwFCS4eZcp,Fallen,83,235893,2,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432,['Evanescence'],,2003-03-04,['alternative metal']
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh,623rRTKwGmgjH6sjE9uWLh,Scatman's World,68,215973,5,https://i.scdn.co/image/ab67616d0000b273c7ed51b9dc1014285cae2ae2,['Scatman John'],,1995-06-01,['eurodance']
I Can't Handle Change,Roar,https://open.spotify.com/track/37l31PrCNsg8baUjarNAi9,37l31PrCNsg8baUjarNAi9,I Can't Handle Change,76,198213,1,https://i.scdn.co/image/ab67616d0000b2737ffa4709d9debeacb9723a56,['Roar'],,2010-03-14,"['pov: indie', 'weirdcore']"
West Covina,Rachel Bloom,https://open.spotify.com/track/7B7UlzXUuVbj5gdrv8WtiY,7B7UlzXUuVbj5gdrv8WtiY,"Crazy Ex-Girlfriend: Season 1 (Original Television Soundtrack, Vol. 1)",26,199191,2,https://i.scdn.co/image/ab67616d0000b273cfd044717c71ac2e1d55e9d1,['Rachel Bloom'],,2016-02-19,[]
"You're Gonna Go Far, Kid",The Offspring,https://open.spotify.com/track/6TfBA04WJ3X1d1wXhaCFVT,6TfBA04WJ3X1d1wXhaCFVT,"Rise And Fall, Rage And Grace",80,177826,3,https://i.scdn.co/image/ab67616d0000b273890ce61533a89e00ce593fcb,['The Offspring'],,2008-06-17,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']"
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/7K8QsHbmUpSX37oOCL4e2g,7K8QsHbmUpSX37oOCL4e2g,Kung Fu Fighter,69,197935,1,https://i.scdn.co/image/ab67616d0000b273131815c9e03c070a5a953a43,['Carl Douglas'],,1974-01-01,[]
EARFQUAKE,"Tyler, The Creator",https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,5hVghJ4KaYES3BFUATCYn0,IGOR,81,190066,2,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,"['Tyler, The Creator']",,2019-05-17,"['hip hop', 'rap']"
Beggin',Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,3Wrjm47oTz2sjIgck11l5e,Chosen,81,211560,4,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045,['Måneskin'],,2017-12-08,"['indie rock italiano', 'italian pop']"
Bad Reputation,Joan Jett & the Blackhearts,https://open.spotify.com/track/7pu8AhGUxHZSCWTkQ2eb5M,7pu8AhGUxHZSCWTkQ2eb5M,Bad Reputation (Expanded Edition),66,169186,1,https://i.scdn.co/image/ab67616d0000b273649fa6da25444974c752db30,['Joan Jett & the Blackhearts'],,1981-01-23,"['glam punk', 'rock']"
Let's Get It Started - Spike Mix,Black Eyed Peas,https://open.spotify.com/track/4hfIVhq0F0zFUcrbecsYmo,4hfIVhq0F0zFUcrbecsYmo,Elephunk,71,217733,3,https://i.scdn.co/image/ab67616d0000b2735db09bde92cc685403d7068f,['Black Eyed Peas'],,2003-06-24,"['dance pop', 'pop', 'pop rap']"
You Make My Dreams (Come True),Daryl Hall & John Oates,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk,4o6BgsqLIBViaGVbx5rbRk,Voices,78,190626,8,https://i.scdn.co/image/ab67616d0000b273fe1a9aa59e3c6189a09ae37a,['Daryl Hall & John Oates'],,1980,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
Hard Times,Paramore,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,0w5Bdu51Ka25Pf3hojsKHh,After Laughter,72,182693,1,https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99,['Paramore'],,2017-05-12,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']"
Dancing Queen,ABBA,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,0GjEhVFGZW8afUYGChu3Rr,Arrival,82,230400,2,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,['ABBA'],,1976,"['europop', 'swedish pop']"
Super Freaky Girl,Nicki Minaj,https://open.spotify.com/track/2yjlYDiNiQkdxVqTlaSrlX,2yjlYDiNiQkdxVqTlaSrlX,Queen Radio: Volume 1,66,170977,1,https://i.scdn.co/image/ab67616d0000b273facb808b493713699283feca,['Nicki Minaj'],,2022-08-26,"['hip pop', 'pop', 'queens hip hop', 'rap']"
