Artist,Percentage_Listened
Ben Crawford,0.013478578933033182
Ben E. King,0.002461732645990961
Ben Fankhauser,0.00011129357131796475
Ben Platt,0.05510469322202112
Benjamin Schrader,0.037527496663596976
Benny Benack III,0.025614563231239954
Benson Boone,0.021003647385375985
Bentley Robles,0.0009031009589239013
Berliner Philharmoniker,0.00286465015340303
Bernadette Beck,0.0003127813077248634
Bernadette Peters,0.0025968499974191772
Bette Midler,0.0002713940108909953
Betty Booom,0.07446936887353489
Betty Buckley,0.016399339595309016
Beverly,0.00036106648736437623
Beyoncé,0.8603796463346627
Big McIntosh,0.00023673070065758752
Big Sean,0.04655149243922689
Big Time Rush,0.011560503789850131
BigXthaPlug,0.014262387095200637
Bikini Kill,0.001245792413940468
Bill Hader,0.0027959611523552235
Bill Medley,0.0007518112604135431
Billie Bust Up,0.037502339679246974
Billie Eilish,0.17989463885134957
Billy Eichner,0.0008952756296906071
Billy Joel,0.010832168517136472
Billy Magnussen,0.00012248089385148933
Billy Ray Cyrus,0.024859737769936552
Bing Crosby,0.012515599714124146
Bingo Players,0.008938612738884412
Binoy,0.0021396768739896004
Bitmaster,0.02599220782349857
Bits & Noise,0.01939058618608623
Björn Skifs,7.292047537395816e-05
Black Eyed Peas,0.15010372639100128
Black Gryph0n,0.0564210295298647
Blaine McGurty,0.007218489442602848
Blake Michael,0.005318731366365881
Blake Roman,0.0022336967555925892
Bleachers,9.825135592914075e-05
Blonde Redhead,4.3242189689167555e-05
Blorg,0.000323968630258388
Blue Franklin,0.0037568536168020475
Blue Swede,7.292047537395816e-05
Blue Öyster Cult,0.0005173412104233517
Blur,0.0007409717302903872
Bo Burnham,0.005669422046820926
Bob Baldwin,0.007161103694892022
Bob Kulick,0.017382896531831532
Bob the Drag Queen,0.4347575547889079
Bob's Burgers,0.5487033910283439
Bobby Fabulous,0.005155037071885708
Bobby Rydell,3.211283255737108e-05
Bobby Tisdale,0.008658118159922104
Bon Iver,0.020182741366102538
Bon Jovi,0.01495733429651891
Boney M.,0.0005122982204730065
Bonnie Tyler,0.09343338766830399
Booboo Stewart,7.013813609100904e-06
Borgeous,0.00018548928552994124
Bowling For Soup,0.03627903784117702
Boyish,0.0013923289495091215
Brad Garrett,0.03674554339428482
Brad Oscar,0.0003344024025694472
Bradley Cooper,0.01961317332872216
Brainbox,0.010897495524884048
Brandeis VoiceMale,0.00035984921392808605
Brandi Carlile,0.011908586027227414
Brandy,0.06152754956050397
Braxton Burks,0.013261788330570061
Breaking Benjamin,0.0004413485687578039
Brendan Maclean,0.015647412404092016
Brendon Urie,0.03315609385767354
Brenton Kossak,0.007218489442602848
Brian D'Arcy James,0.03842027978101327
Brian David Gilbert,0.012614836481882663
Brian Huskey,0.013008305628813051
Brian Johnson,0.030930802085331527
Brian Sears,0.037527496663596976
Brianna Mazzola,0.01901954964962462
Bridgit Mendler,0.05716530528805359
Brie Larson,0.014363246894207544
Briga Heelen,0.03718938447531693
Bring It On: The Musical - Original Broadway Cast,0.000537629101028189
Bring Me The Horizon,5.564678565898237e-05
Brit Smith,0.07973100431919859
Britney Manson,0.0037134375309076954
Britney Spears,1.3494030190517825
Brittany Murphy,0.00015952078555574945
Brittany Snow,0.08401314040646074
Broken Iris,0.00019441595739606968
Brooke Lynn Hytes,0.00035260353871207267
Brooksie,0.0002398608323509053
Brothers Osborne,0.0006059123442638986
Bruno Mars,0.2503512948248546
Bryce Pinkham,7.663026108455699e-05
Bryson Tiller,0.0003227513568220978
Budapest Festival Orchestra,0.00014960870186024323
Buddy Holly,0.00748449267113313
Buffalo Springfield,5.437154682096403e-05
Burl Moseley,0.018253131107975596
Busta Rhymes,0.02289094290024141
Button Masher,0.015193833135569585
Bye Bye Birdie Ensemble,3.211283255737108e-05
C418,0.026094806584557317
CG5,0.0016164231925899818
CHAD,0.03652799924159923
CHERRYBLOSSOM,0.00015331848757084204
CYRIL,0.027630599903343503
Cage The Elephant,7.042796309964957e-05
Cahill,0.001083257427494857
Caitlin Kinnunen,0.00012816150322084377
Cake The Musical,0.00026211954661449824
Cakes da Killa,0.00012514730233098223
Caleb Hyles,9.274464276497062e-05
Calpernia,0.0007657809222300167
Calvin Harris,0.03670554726709242
Camellia,5.651626668490398e-05
Camelot on Broadway Company,0.0001290889496484935
Cameron Boyce,7.013813609100904e-06
Cameron Diaz,0.0014932467139177551
Camila Cabello,0.10143806185454515
Camila Mendes,0.0003127813077248634
Candace,0.09368617478524026
Capcom Sound Team,0.3446506276295747
Capital Cities,6.921068966335932e-05
Caramella Girls,0.011794336220421316
Caravan Palace,0.010541124235059648
Cardi B,0.04263274145539824
Carl Douglas,0.0008985796575891091
Carlos Baute,0.0002794512017312021
Carly Rae Jepsen,0.07584378651391002
Carly Simon,0.01246858977332265
Carmen Twillie,0.030885531106581876
Carolina Gaitán,0.012527482621478406
Carolina Gaitán - La Gaita,8.82813068319064e-05
Caroline O'Connor,6.921068966335932e-05
Caroline Polachek,4.816924883605662e-05
Carpenters,0.030001616695629976
Carrie Underwood,0.011961218611996532
Carsie Blanton,0.005372523259169564
Carter Burwell,0.00254381165483796
Cascada,0.02996851845124323
Cashcash,0.0004737512283238156
Cashmere Cat,0.00022751420178281854
Cass Elliot,0.012529917168350987
Cast - Tangled,0.014355595461179434
Cast - The Little Mermaid,5.755964391600989e-05
Cast Of The Motion Picture Rent,0.00019470578440471023
Cast of Frozen 2,0.0009558494744964785
Cast of High School Musical: The Musical: The Series,0.001996908089533274
Cast of Mean Girls,0.0004357259247901776
Catbreath?,0.0005607572963177036
Catherine Zeta-Jones,0.02566319620328984
Celica Gray,3.651820308870718e-05
Cement City,0.00014131964941312396
Central Cee,0.003162360456678586
Chaka Khan,0.01249490606570721
Chappell Roan,1.0893345202120315
Charles Manson,0.0022794314575560653
Charli xcx,0.48900667868142217
Charlie Hodson-Prior,0.004039203088619655
Charlie Puth,0.06128710907413579
Charlie Rosen,0.020250444955320968
Charlie Xile,0.00013476955901784793
Charmian Carr,0.00025962703434018967
Cheech Manohar,0.021430156811291394
Cheech Marin,0.012764735010751548
Cher,0.014579283946448198
Cher Lloyd,0.008832941811534075
Cherie Lily,0.0026136599639203285
Cheryl Freeman,0.04081720710787221
Cheryl Hole,0.0002113998201024049
Chevy,0.0039905701165697735
Cheyenne Jackson,0.06828880791427551
Chi-Chi,3.535889505414505e-05
Chiaki Ishikawa,0.0005280068443413234
Chicken Mob,0.00028014678655193935
Childish Gambino,0.034646210439897976
China Anne McClain,0.027985464092722977
Chinozo,0.05145194546672276
Chippy Bits,0.00047108481984432267
Chorus - Beauty And the Beast,0.000944720117364682
Chorus - Hercules,0.03246885605478511
Chorus - Mulan,0.01276160487905823
ChouCho,9.888897534814992e-05
Chouchou-P,0.0009731231642114543
Chris Allison,0.018110362323519272
Chris Brown,0.05714519129365393
Chris Kaiga,0.00011535114943893222
Chris Maxwell,0.013839587454995828
Chris Parnell,0.0030366335003303227
Chris Pine,0.00012248089385148933
Christian Borle,0.0955710357532331
Christina Aguilera,0.6355981074855123
Christina Modestou,0.056846611509352454
Christina Perri,0.00020722631117798122
Christine Baranski,0.024803801157268927
Christine Lavin,0.013050968164484937
Christine and the Queens,4.816924883605662e-05
Christopher Fitzgerald,4.45174285271859e-05
Christopher Jackson,0.1718278257544559
Christopher Tyng,0.029806968876626996
Chuck Smith,0.0016163652271882537
Ciara,0.0019401599612414574
Cidergirl,0.014665246637210978
CircusP,0.12109523092317895
Citizen Queen,0.00023817983570079016
Claire Rosinkranz,4.695197539976638e-05
Clairo,0.00019777795069629984
ClariS,0.10659698260834663
Clark Johnsen,0.037527496663596976
Clay Aiken,0.007143772039775318
Clean Bandit,0.13918704431814521
Cleo Laine,0.09181232724357576
Cleve Asbury,0.024803801157268927
Club Eat,0.00017308468956012642
Coa White,0.0020236301397299305
Cobra Starship,0.07798850637784997
Coi Leray,0.0001695488000547119
Colbie Caillat,0.026870615521286296
Colby O'Donis,0.05650490546616527
Coldplay,0.03734664461020529
Cole Thompson,0.03592063776229213
Colin Dean,0.004209911196708929
Colm Wilkinson,0.0004717224392633318
Colter Wall,0.0003230411838307383
Commodores,8.746979120771291e-05
Company,0.02699384996536025
Conan Gray,0.03508750104325405
Conrad McLaren,0.0002411360711889236
Cook,0.008638641784941462
Coolio,0.013951866438143171
Corbin Bleu,0.01221325217871034
Corinne Bailey Rae,0.012483428916165044
Cossbysweater,0.006150129123352114
Count Basie,0.021740851364554045
Counting Crows,2.5736638367279348e-05
Country Joe & The Fish,0.013107890188981938
Courtney Act,0.00897020388282623
Courtney-Mae Briggs,0.01544406977482982
Coyote Theory,0.00040523612348119354
Crablooshi,0.0029525836678245677
Crafting Audio,0.009042602669584636
Crazy Ex-Girlfriend Cast,2.599551011243502
Crazy Frog,0.0008196307804354278
Creepy Nuts,0.009746012819555208
Cristina Vee,0.08503582398914973
Cristy Candler,0.02347007522890692
"Crosby, Stills & Nash",0.0156372684587896
Crusher-P,0.00014218913043904558
Crystal Castles,0.0003278523121741712
Crystal Kay,0.00043769674844893326
Crystal Waters,0.029559978299863534
Culture Club,0.0005703795530045693
Cupid,0.015691060351593282
Curtis Holbrook,0.08065404537631696
Cyndi Lauper,0.061619656583849935
Cyndi Wang,0.015714188546882796
Cynthia Erivo,0.06478172721351988
Cyprien Katsaris,0.00025099018948270175
Czech Symphony Orchestra,0.0010794317109808018
Cécile Corbel,0.0001021350378449239
Céline Dion,0.04434590890347243
D'Mixmasters,9.888897534814992e-05
D.O.E.,0.00011036612489031503
D.S. Ereki,8.619455236969458e-05
D12,0.016621173187722483
DANDARA,0.0008569025337466004
DEAN FUJIOKA,0.001062621744479651
DECO*27,0.10698749551978888
DEQUAR,0.3616723417432384
DEV,0.0200611879186787
DINKS,0.0002448458568995224
DJ Cassidy,0.0004212345743581509
DJ Khaled,0.058779873587788266
DJ Mitch Ferrino,0.10225282354123541
DJ Snake,0.030817653621158264
DJ White Shadow,0.0016235529370025388
DNA,0.0026307017920283917
DNCE,5.0661761110365205e-05
DOES,8.03400467951558e-05
DONT MAKE THIS WEIRD,0.0005437154682096403
DPZ,0.009244322267598448
DVBBS,0.00018548928552994124
Da Brat,0.0003029271894310853
Da Vinci's Notebook,0.0003960196246064246
DaBaby,0.10432097110949254
Daa San,0.0018751807459042498
Daddy Yankee,0.0273796097138608
Daft Punk,0.030417518453029143
Dai,0.9521464127724801
Dai Klan (Megumi Toyoguchi) x Shou Klan (Megumi Toyoguchi),0.0002076900343918061
Daiki Okuno,0.04268717096762093
Daily Bread,0.006555191350628124
Daily Calm,0.012219338545891792
Daisuke,0.0005502075932031882
Daisy,0.008818160634093408
DaizyStripper,0.001497478188243907
Dakin Matthews,0.0001290889496484935
Dale North & Mustin,0.015507715785927282
Dan DeSimone,0.010638332213757682
Dan Gregor,0.016951402081367507
Dan Mintz,0.2585674847620016
Dan Redfeld & Elizabeth Hedman,0.0002812481291847734
Dan Salvato,0.0007631145137505239
Dancing Dolls,0.00015610082685379116
Daniel Caesar,0.00010480144632441681
Daniel Cooney,0.0015114478500603806
Daniel Huttlestone,0.027164731969654708
Daniel Kahn,0.011700374304220053
Daniel Ruffing,0.0
Daniel Torres,0.03145909875668149
Danny Jacob,0.0038982891970186276
Danny Jolles,0.017013309130413126
Danny Rutigliano,8.387593630057031e-05
Danny Skinner,0.011327946598116968
Daoko,0.00040749677414858966
Dara Reneé,0.00023418022298155082
Darren Criss,0.08643696367972152
Darrison,8.474541732649192e-05
Daryl Hall & John Oates,0.022786315350122176
Dasha,0.011275198082544392
Dashboard Confessional,0.011735675233872471
Datchery,4.167712384250868e-05
Dave Herman,0.02522949906756014
Dave Matthews Band,0.011908586027227414
Dave Stewart,0.02559427534063512
Daveed Diggs,0.2992229683990524
David Bowie,0.042047812586559916
David Depino,0.018900720576082004
David Glen Eisley,0.017382896531831532
David Guetta,0.4189673736003595
David Hull,0.01137321757686662
David Ian Xtravaganza,0.018900720576082004
David Munster,0.02022279545869666
David Russell,0.0005574532684192015
David Schultz,0.008265692390222823
David Wain,0.05839480942410845
David Wise,0.011435298522117422
Daya,0.022888044630155004
Debbie Kurup,0.0039665144748526095
Debbie Turner,0.00025962703434018967
Decisions,0.0003239106648566599
Deedee Magno Hall,0.06891042888240774
Deee-Lite,6.306635708018002e-05
Deepnoum,0.011535114943893221
Deidre Goodwin,0.045919379733381886
Delta Nus,0.08693790068145581
Dem Jointz,0.012621212676072755
Demi Lovato,0.5893965521765179
Denise Faye,0.02566319620328984
Depeche Mode,0.010795476417842582
Dequina Moore,0.33732275747391094
Derek Hough,0.01438788218994199
Destiny's Child,0.2028850503809564
Detox,0.044649589643125986
Diana Ross,0.031404727209860525
Diane Guerrero,0.023016264098777574
Dick Van Dyke,0.007237560059771395
Dido,0.023442715559291255
Dinosaur Jr.,0.006318460649970537
Dios/signalP,0.03835008367952054
Diplo,0.0014562647876152231
Disney,0.35270457240728476
Divinyls,0.0012288085512341326
Dixie Flatline,0.10072178338539092
Dj Cutman,0.026005192073485665
Dj Rehan,0.000308202040988343
Djo,0.0004434353232200158
Do As Infinity,0.00028310302204007283
Doechii,0.0046245377152700756
Doja Cat,0.2357726484978254
Dolly Parton,0.05365057315426983
Dolly Parton & Family,9.767170191185968e-05
Dominic Cooper,0.0013243934986837806
