unique_ip_address,subnet,city,region,country,latitude,longitude
2600:6c44:27f:1aea:3004:dde5:bedb:5485,2600:6c44:27f:1aea::/64,Two Rivers,Wisconsin,US,44.149206,-87.5682149
2600:387:15:271a::c,2600:387:15:271a::/64,Wamac,Illinois,US,,
2600:387:f:5b16::a,2600:387:f:5b16::/64,Ingalls Park,Illinois,US,,
2600:387:15:2c19::6,2600:387:15:2c19::/64,Blue Island,Illinois,US,,
168.91.221.120,168.91.221.0/24,Chicago,Illinois,US,,
2600:387:f:6a13::7,2600:387:f:6a13::/64,Elmwood Park,Illinois,US,,
2600:387:15:2c14::5,2600:387:15:2c14::/64,Bloomington,Indiana,US,,
2600:387:f:5b12::2,2600:387:f:5b12::/64,Oak Park,Illinois,US,,
50.233.222.124,50.233.222.0/24,Chicago,Illinois,US,,
2600:387:f:5a15::4,2600:387:f:5a15::/64,Akron,Ohio,US,,
96.241.118.169,96.241.118.0/24,Washington D.C.,District of Columbia,US,,
2600:387:15:2c17::2,2600:387:15:2c17::/64,Oak Park,Illinois,US,41.8878145,-87.7887615
2600:387:15:2d11::b,2600:387:15:2d11::/64,Lansing,Michigan,US,42.7338254,-84.5546295
2600:387:15:2d13::8,2600:387:15:2d13::/64,Lansing,Michigan,US,42.7338254,-84.5546295
12.74.238.44,12.74.238.0/24,New York,New York,US,,
2600:387:15:2d14::2,2600:387:15:2d14::/64,Elizabeth,New Jersey,US,,
2600:387:f:6a12::3,2600:387:f:6a12::/64,Lincolnwood,Illinois,US,,
2600:387:f:6a14::a,2600:387:f:6a14::/64,Wayne,Illinois,US,38.4251958,-88.4197678
2600:387:f:913::6,2600:387:f:913::/64,Columbia,Missouri,US,38.951883,-92.3337366
207.104.43.41,207.104.43.0/24,Boca Raton,Florida,US,26.3586885,-80.0830984
2600:1700:24f4:7000:15dc:2c67:6667:6d56,2600:1700:24f4:7000::/64,Dania Beach,Florida,US,26.0524224,-80.143929
2600:387:f:d10::8,2600:387:f:d10::/64,Boca Raton,Florida,US,26.3586885,-80.0830984
75.104.93.146,75.104.93.0/24,Miami Springs,Florida,US,25.8223198,-80.289495
